Authors,Title,Year,Source title,Cited by,Affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Language of Original Document,Document Type,Publication Stage,Source
Ladstätter P.,Business models for open data strategies of official geo-information science [Geschaftsmodelle für Open-Data-Strategien des amtlichen Geoinformationswesens],2015,"ZFV - Zeitschrift fur Geodasie, Geoinformation und Landmanagement",1,"Ladstätter Geoinformatik, Pater-Alois-Weg 7, Erding, 85435, Germany","Open government data is a global trend aiming for more transparency in government and for the economic re-use of public sector data. Surveying and mapping agencies are challenged by open data since the creation and the management of geospatial data is a cost intense task. Government must find new ways to finance the provision of geospatial information. In this context open data is also a chance to grow the user community of authoritative geospatial data. This will support the use of innovative business models, such as becoming a central service provider in a cloud-computing environment, developing so-called freemium offerings or forming public-privatepartnerships.",,,"Ladstätter, P.; Ladstätter GeoinformatikGermany; email: pla@ladstaettergeo.com",English; German,Article,Final,Scopus
"Pop D., Echeverria A., Vidagany J.V.",Integrating social media and open data in a cloud-based platform for public sector advertising,2015,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),3,"Universitatea de Vest Din Timişoara, Bd. V. Pârvan 4, Timişoara, 300223, Romania; Investigaciòn y Desarrollo Informatico Eikon, Parque Technologico Calle Benjamin Franklin, Valencia, Spain; TIE KINETIX, De Corridor 5, Breukelen, Netherlands","Nowadays, Public Sector Advertising (PSA) is conveyed as unidirectional top-down stream of messages that clearly separates the content producers (governments usually) from content consumers (citizens). As social networks and Linked Open Government Data (LOGD) initiatives are moving forward e-Government towards connected government, PSA platforms need to embrace the modern paradigms of empowering citizens and communities to increasingly and actively participate in functioning of the society for their own benefits. In this position paper, firstly we present our findings related to the use of content from social networks as public ads and secondly, we propose an open and collaborative platform that supports semantically-enabled, participative PSA. © Springer International Publishing Switzerland 2015.",Collaborative government; Public sector information; Public service advertising; Semantic web; Social networks; Web 2.0,Big data; Distributed computer systems; Government data processing; Information systems; Marketing; Public relations; Semantic Web; Social sciences computing; Systems engineering; World Wide Web; Cloud based platforms; Collaborative government; Collaborative platform; Content producers; Modern paradigms; Public sector information; Public services; Web 2.0; Social networking (online),"Pop, D.; Universitatea de Vest Din Timişoara, Bd. V. Pârvan 4, Romania; email: danielpop@info.uvt.ro",English,Conference Paper,Final,Scopus
"Biancalana C., Micarelli A., Sansonetti G.",Personalized extended government for local public administrations,2015,CEUR Workshop Proceedings,1,"Roma Tre University, Department of Engineering, Via della Vasca Navale 79, Rome, 00146, Italy; Lazio Innovazione Tecnologica, LAit S.p.A., Via Adelaide Bono Cairoli 68, Rome, 00144, Italy","This paper discusses the enterprise organization environment and reports our experience and lessons learned in developing an extension of the traditional virtual enterprise model, we named personalized extended government (PEG) model. The aim of such model is to simplify and enhance the effectiveness of e-Government services, by realizing Administration to Administration (A2A) and Administration to Citizen (A2C) processes in a personalized perspective. The features of the proposed model make it suitable for use in local public administrations. As a proof of this, it has been successfully deployed to realize the Italian Open Government Data Portal of Regione Lazio, which allows every citizen to be informed about the employment of public resources on regional territory. © 2015 CEUR-WS. All rights reserved.",E-Government; Personalization; Virtual enterprise model,e-government; Virtual corporation; Data portal; E-government services; Personalizations; Public resources; Virtual enterprise modeling; Public administration,,English,Conference Paper,Final,Scopus
"Azevedo P.C.N., Bastos G.S., Parreiras F.S.",A linked open data approach for visualizing flood information a case study of the Rio Doce Basin in Brazil,2015,"GISTAM 2015 - 1st International Conference on Geographical Information Systems Theory, Applications and Management, Proceedings",3,"CPRM - Companhia de Pesquisa de Recursos Minerais, Av. Brasil 1731, Belo Horizonte, MG, 30140-002, Brazil; LAIS - Laboratory of Advanced Information Systems, FUMEC University, Av. Afonso Pena 3880, Belo Horizonte, MG, 30130-009, Brazil; Institute of System Engineering and Information Technology - IESTI, Federal University of Itajubá, Av. BPS 1303, Itajubá, MG, 37500-903, Brazil","The availability of open government data offers an easy way to mix and match these data to create new knowledge. Geographic Information Systems powered by Semantic Web technologies and linked data result in an integration of data from multiple sources, facilitating its use and enhancing the discovery and dissemination of new knowledge. In this work, we present a prototype application that integrates heterogeneous data located in various public organizations, related to flooding in Rio Doce Basin - Brazil. For this purpose, data were converted to RDF format, linked and displayed on a Geographic Information System, through SPARQL queries. We validate our approach using a proof of concept. The results show that our proposal of liking open data about flood information is able to answer the identified competency questions.",Flood; Geographical information system; Linked open data; Semantic Web,Floods; Geographic information systems; Information systems; Information use; Linked data; Open Data; Semantic Web; System theory; Heterogeneous data; Linked open datum; Mix and match; Multiple source; Proof of concept; Public organizations; Semantic Web technology; Sparql queries; Information management,,English,Conference Paper,Final,Scopus
"Monsalve C., Puyosa H., Terán L.",IEEE hack Ecuador challenge (HEC'15),2015,"2015 2nd International Conference on eDemocracy and eGovernment, ICEDEG 2015",,"Escuela Superior Politécnica Del Litoral, Ecuador; Universidad Politécnica de Cartagena, Spain; University of Fribourg, Switzerland; Universidad de Las Fuerzas Armadas (ESPE), Ecuador","eGovernment aims to put digital public services at the disposal of citizens, companies, and organizations. Events like this hackathon to write applications, liberate data, create visualizations, and publish analyses using open public data is a strong support for and encourages the adoption of open data policies by the local, regional, aand national government; contribute to disseminating what data are available; and help to propose online services or app ideas that could be developed to benefit citizens, companies, and organizations. This tutorial is part of the IEEE Hack Ecuador Challenge (HEC'15)5 to encourage the development of creative apps that engage and serve diverse communities, while using open government data from Ecuador and the city of Quito. © 2015 University of Fribourg.",,Diverse community; e-Government; Ecuador; National governments; On-line service; Open datum; Public data; Public services,,English,Conference Paper,Final,Scopus
"Ham J., Lee J.-N., Kim D.J., Choi B.",Open innovation maturity model for the government: An open system perspective,2015,"2015 International Conference on Information Systems: Exploring the Information Frontier, ICIS 2015",11,"Business School, Korea University, Seoul, South Korea; College of Business, University of North Texas, Denton, TX, United States; College of Business Administration, Kookmin University, Seoul, South Korea","To meet the increasing expectations of citizens, governments have become increasingly open, transparent, accessible and consultative to deliver efficient public services. These trends can be fulfilled through open government data provision and usage. Governments can generate social and economic values by using data-driven open innovation processes, such as by adopting citizens' ideas or knowledge related to open data and by providing government data to the public. Despite the trends of open innovation in the context of government, research on open innovation is lacking. Furthermore, most studies disregard the differences of countries in the level of open innovation maturity of open data provision and usage. Therefore, this study aims to understand data-driven open innovation practices in government by developing a government-level open innovation maturity model, evaluating the current status of open innovation of the government, and suggesting appropriate future directions and guidelines for the government.",General systems theory; Open data; Open government; Open innovation; Open innovation maturity model; Open systems perspective,Information systems; Open systems; General systems theory; Maturity model; Open datum; Open government; Open innovation; Innovation,,English,Conference Paper,Final,Scopus
Birchall C.,‘Data.gov-in-a-box’: Delimiting transparency,2015,European Journal of Social Theory,27,"King’s College London, United Kingdom","Given that the Obama administration still relies on many strategies we would think of as sitting on the side of secrecy, it seems that the only lasting transparency legacy of the Obama administration will be data-driven or e-transparency as exemplified by the web interface ‘data.gov’. As the data-driven transparency model is exported and assumes an ascendant position around the globe, it is imperative that we ask what kind of publics, subjects, and indeed, politics it will produce. Open government data is not just a matter concerning accountability but is seen as a necessary component of the new ‘data economy’. To participate and benefit from this info-capitalist-democracy, the data subject is called upon to be both auditor and entrepreneur. This article explores the implications of responsibilization, outsourcing, and commodification on the contract of representational democracy and asks if there are other forms of transparency that might better resist neoliberal formations and re-politicize the public sphere. © The Author(s) 2015",data; Deleuze; imperialism; neoliberalism; transparency,,"Birchall, C.; King’s College LondonUnited Kingdom",English,Article,Final,Scopus
"Hammerberg K., Mahdavi A.",GIS-based simulation of solar radiation in urban environments,2015,"eWork and eBusiness in Architecture, Engineering and Construction - Proceedings of the 10th European Conference on Product and Process Modelling, ECPPM 2014",3,"Vienna University of Technology, Vienna, Austria","A simple approach to modeling the radiation exchange in complex urban environments using readily available geospatial information and weather station measurements could serve as a useful tool for studying site specific impacts regarding the Urban Heat Island (UHI) and pedestrian thermal comfort. This research presents a solar radiation model that is based on a simplification of the SOLWEIG model. It was developed for the open-source Geographic Information System (GIS) software Quantum GIS and utilizes open government data from the City of Vienna. In an effort to validate this model as well as compare it to the SOLWEIG model, measurements of global irradiance were taken throughout an urban setting and compared with the modeling results. The values derived from the models corresponded well with measured values. Furthermore, despite being a simplification of the SOLWEIG model the approach taken in this study showed better overall fit to measured values. This is likely the result of using a greater temporal resolution. © 2015 Taylor & Francis Group.",,Information use; Open source software; Open systems; Process engineering; Solar radiation; Urban growth; Complex urban environments; Geo-spatial informations; Global irradiance; Radiation exchange; Solar radiation model; Temporal resolution; Urban environments; Urban heat island; Geographic information systems,,English,Conference Paper,Final,Scopus
"McGibbney L.J., Kumar B.",A framework for regulatory ontology construction within AEC domain,2015,"Ontology in the AEC Industry: A Decade of Research and Development in Architecture, Engineering, and Construction",1,"NASA Jet Propulsion Laboratory, California Institute of Technology, Pasadena, 4800 Oak Grove Drive, Pasadena, CA  91109-8099, United States; School of Engineering and Built Environment, Glasgow Caledonian University, 70 Cowcaddens Road, Glasgow, G4OBA, United Kingdom","Within the last decade or so, ontology engineering, in line with the proliferous expansion of the open/linked/semantic web of things, has infiltrated many facets of research and is now clearly ubiquitous even within the architecture, engineering and construction (AEC) domain. With specific focus on engineering of ontologies from a legislative perspective, current solutions leave many questions relating to best practice unanswered and provide minimal guidance to how, as engineers, we can accurately develop accurate, standards compliant ontological manifestations of legal documentation. We present our research in the form of a process framework for semi-automated ontology construction using building regulations as an example scenario. This work will appeal to engineers familiar with the preceding technicalities as well as newcomers to ontology engineering who are challenged with alternative manifestations of legal documents within the AEC domain. The objective therefore is to further enable improved uptake and cultural embracement of open government data using the platform provided by linked data paradigm for better communication of AEC regulations. © 2015 by the American Society of Civil Engineers.",,"Building codes; Ontology; Standards; Architecture , engineering and constructions; Automated ontology constructions; Building regulations; Legal documentation; Legal documents; Ontology construction; Ontology engineering; Process framework; Laws and legislation",,English,Book Chapter,Final,Scopus
[No author name available],"20th Symposium of the Association Information and Management 2015, AIM 2015",2015,"20th Symposium of the Association Information and Management 2015, AIM 2015",,,"The proceedings contain 82 papers. The topics discussed include: a new evaluation model of the ERP system success; the role of a decision support tool in legitimating R&D consulting services: the case study of a French consulting firm; relationship management in global virtual teams: the case of virtual R&D project teams; time pressure, knowledge sourcing and creativity within innovative project teams; toward a better understanding of SMB CEOs' information security behavior: insights from threat or coping appraisal; barriers to the use of competence mapping: case of commercial trains service agents of the SNCF; the impact of CRM on QoE : an exploratory study from mobile phone industry in morocco; antecedents and consequences of the experience of mental images related to the visit of a brand website; digital capabilities for SMEs' innovation in collaborative networks: a literature review; effects of it tools and motivational factors on leadership style and creativity of consumers; trust and perceived risk in open government data professional adoption; oral tele-consultation acceptance for the dependent elderly: issues and methodological proposal; and influence of risks and privacy literacy on coping responses to privacy threats.",,,,English; French,Conference Review,Final,Scopus
"Zuiderwijk A., Janssen M.",Towards decision support for disclosing data: Closed or open data?,2015,Information Polity,28,"Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands","The disclosure of open government data is a complex activity that may create public value yet might also encounter risks, such as the misinterpretation and misuse of data. While politicians support data release and assume that the positive value of open data will dominate, many governmental organizations are reluctant to open their data, as they are afraid of the dark side. The objective of this paper is to provide a decision-making model that assists in trade-offs between the pros and cons of open data. Data disclosure is dependent on the type of data (e.g. its sensitivity, structure and quality) and the context (e.g. organizational policies, legislation and the political influences). Based on the literature and fifteen in-depth interviews with public sector officials and data archivists, this paper identifies contextual and dataset-related variables which influence a trade-off. A decision-making model is presented capturing trade-offs, and in this way providing guidance for weighing the creation of public value and the risks. The model can be used for decision-making to open or not to open data. It is likely that the decision regarding which data should be opened or closed will shift over time. © 2015 - IOS Press and the authors.",data release; decision support; Open data; positive effects; risks; trade-offs; variables,,"Zuiderwijk, A.; Delft University of Technology, Jaffalaan 5, Netherlands",English,Article,Final,Scopus
[No author name available],"4th International Conference on Electronic Government and the Information Systems Perspective, EGOVIS 2015",2015,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,,The proceedings contain 27 papers. The special focus in this conference is on Semantic Technologies in E-Government and Identity Management in E-Government. The topics include: Using the semantic web for the integration and publication of public procurement data; the ontology-based approach of the publications office of the EU for document accessibility and open data services; engineering semantic web services for government business processes automation; enhancing public digital identity system (SPID) to prevent information leakage; encryption-based second authentication factor solutions for qualified server-side signature creation; learning from the cases of Russia and Italy; towards a model of client-driven access to public e-services; collaborative innovation in the public sector a case of the Brazilian federal government; concept of Estonian government cloud and data embassies; open innovation and social participation; open innovation for citizen coproduction; analyzing suspicious medical visit claims from individual healthcare service providers using K-means clustering; predictive models on tax refund claims - essays of data mining in Brazilian tax administration; dynamic skill gap analysis using ontology matching; semi-automatic methodology for compliance checking on business processes; open government data licensing framework; an untapped potential for political participation and civic engagement; elliptic curve array ballots for homomorphic tallying elections; proposal for effective planning of cooperation activities in a company; a lazy approach for filtering parliamentary documents and relations between marketing and innovation in Brazilian universities.,,,,English,Conference Review,Final,Scopus
[No author name available],"14th IFIP WG 6.11 Conference on e-Business, e-Services, and e-Society, I3E 2015",2015,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,,"The proceedings contain 46 papers. The special focus in this conference is on Adoption, Big and Open Data. The topics include: Driving innovation using big open linked data BOLD panel; adoption of mobile banking in jordan; young-elderly travellers as potential users and actual users of internet with mobile devices during trips; an empirical study on the adoption of online household e-waste collection services in china; perceptions of teachers and guardians on the electronic record in the school-family communication; a systematic review of impediments blocking internet of things adoption by governments; understanding the adoption of mobile internet in the saudi arabian context; conceptualising and exploring user activities in social media; understanding the determinants of privacy-ABC technologies adoption by service providers; linking operational business intelligence with value-based business requirements; operationalizing data governance via multi-level metadata management; a mapreduce based distributed framework for similarity search in healthcare big data environment; revenue sources of social media services besides advertising; big data analytics as a service for business intelligence; linked relations architecture for production and consumption of linksets in open government data; transparency dimensions of big and open linked data; a global perspective and a focus on china; proposing a framework for evaluating citizen intentions; enabling flexible IT services by crowdsourcing; mining learning processes from FLOSS mailing archives; private-collective innovation and open source software and towards a set of capabilities for orchestrating IT-outsourcing in the retained organizations.",,,,English,Conference Review,Final,Scopus
[No author name available],"14th IFIP WG 8.5 International Conference on Electronic Government, EGOV 2015",2015,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,,"The proceedings contain 29 papers. The special focus in this conference is on Foundations, Open and Smart Government. The topics include: A literature review; conceptualising the digital public in government crowdsourcing; the contextual lens; e-government systems design and implementation in developed and developing countries; theoretical support for social media research; big and open linked data (BOLD) to create smart cities and citizens; open innovation contests for improving healthcare - an explorative case study focusing on challenges in a testbed initiative; a detailed account of public accountability process and tasks; mediating citizen-sourcing of open government applications - a design science approach; processing linked open data cubes; scrutinizing open government data to understand patterns in egovernment uptake; a systematic review of benefits; understanding public-private collaboration configurations for international information infrastructures; emerging lessons from an inside-out perspective; what a process view learns about g2g information systems in flanders; makers and shapers or users and choosers participatory practices in digitalization of public sector; why realization mismatches expectations of e-government project benefits? towards benefit realization planning; electronic data safes as an infrastructure for transformational government? a case study; an ontology of egovernment; privacy in digital identity systems; evaluating a passive social media citizensourcing innovation; three positives make one negative and proactivity postponed? ‘capturing’ records created in the context of e-government - a literary warrant analysis of the plans for a national e-archive service in Sweden.",,,,English,Conference Review,Final,Scopus
"Zuiderwijk A., Janssen M.",Participation and data quality in open data use: Open data infrastructures evaluated,2015,"Proceedings of the European Conference on e-Government, ECEG",13,"Delft University of Technology, Delft, Netherlands","Infrastructures may improve the use of Open Government Data (OGD) by providing insight in how individuals can participate in data reuse and in the quality of open data. Yet, most OGD infrastructures do not support such activities. The objective of this paper is to evaluate the importance and usability of participation mechanisms and data quality indicators for open data infrastructures through quasi-experiments. A quasi-experiment is an experimental evaluation method in which researchers have control over the (non-random) assignment of participants to treatment and control conditions, the selection of control conditions and the organisation of the treatment, and over the measures. Moreover, quasi-experiments usually include a pre-test (i.e. a test before the treatment or control condition) and a post-test (i.e. a test after the treatment or control condition). The results of our quasi-experiments showed that the prototype of our OGD infrastructure improved OGD participation and data quality analysis by providing functionalities including discussion messages, social media sharing, linking items related to a dataset, Wiki descriptions and discussions, and data quality ratings and reviews. Participant observations showed that participants in the treatment group found it easier to conduct tasks with the prototype related to giving feedback on and discussing open data and rating and reviewing data quality than the participants in the control group. Our study suggested that participation mechanisms and quality indicators add value and improve the use of OGD. It recommends the implementation of such mechanisms and indicators in existing OGD infrastructures. To support the creation of transparency, citizen participation and innovation with OGD, our findings suggest that participation mechanisms and data quality indicators are a condition. Yet, these mechanisms and indicators are not sufficient for ensuring the generation of the OGD benefits, since there are still many factors which hinder the generation of these benefits. We discuss a number of these factors including factors related to OGD infrastructures and factors beyond OGD infrastructures. © The Authors, 2015.",Data quality; Experiments; Infrastructure; Open data; Participation; Social media; Usability,Data reduction; Experiments; Social networking (online); Data quality; Infrastructure; Open datum; Participation; Social media; Usability; Quality control,,English,Conference Paper,Final,Scopus
"Golodoniuc P., Car N.J., Cox S.J.D., Atkinson R.A.",PID service - an advanced persistent identifier management service for the semantic web,2015,"Proceedings - 21st International Congress on Modelling and Simulation, MODSIM 2015",6,"CSIRO Mineral Resources Flagship, Kensington, WA, Australia; CSIRO Land and Water Flagship, Dutton Park, QLD, Australia; CSIRO Land and Waters Flagship, Highett, VIC, Australia; Metalinkage, Wollongong, NSW, Australia","Persistent identifiers are an integral part of the Semantic Web and Linked Data applications: they enable the stable identification of digital objects and may be used as a top-level application programming interface (API) to bind multiple representations of digital objects into a single, coherent, data model. In addition to these technical tasks, persistent identifiers and their management are of prime concern for the governance of Domain Name System (DNS)-based domains containing output from multiple parties that need to ensure identifier uniqueness as their first order of operation. Our contribution to solutions for the technical and governance challenges posed by identity management is the PID Service - a persistent identity service - which is a web service offering advanced persistent identifier management with features not found in proxy servers and other web redirection products. The PID Service is able to store and implement large numbers of complex Uniform Resource Indicator (URI) redirection rules and handle related sets of rules according to rule hierarchies. This, combined with a web-based graphical user interface and database rule storage, allows users of the PID Service to far more easily manage large numbers of complex rules within a domain avoiding rule collision and specialised partial URI delegation. The Application Programming Interface allows programmatic access to all features of the service that, in turn, provides boundless integration possibilities with other applications and services. These possibilities include, but are not limited to, applications such as automatic data harvesting and digital entity identification. The PID Service is being used for a number of operational Semantic Web and Linked Data applications including the 'environment' portion of the Australian Commonwealth Government's data.gov.au project operating at environment.data.gov.au. There the PID Service handles the identifiers for a range of Linked Data products including the large and complex national Australian Hydrological Geospatial Fabric. In addition to handling current products within the domain, the design of the PID Service is such that it will be able to cope with large increases in number of persistent identifiers, which is important given the rising popularity of open government data and the use of services such as environment.data.gov.au. The PID Service has also formed part of the key service infrastructure in the Spatial Identifier Reference Framework (SIRF) (Atkinson et al., 2013) - a scalable linked data infrastructure that aims to improve the supply of open, spatially enabled and linked information. SIRF provides means to reliably cross-reference identifiers for the real-world locations and encodes spatial relationships between features (i.e. containment and adjacency). This framework of spatial identifiers is used to link together information (e.g., socio-economic statistics) about locations, stored in multiple distributed systems. In this paper we outline the motivation for the PID Service including the limitations of other proxy and redirect technologies. We provide an overview of the system design and describe both its technical functionalities and use cases. Finally, we describe the aforementioned installation of the PID Service at environment.data.gov.au and discuss how it impacts domain governance. © 2020 Proceedings - 21st International Congress on Modelling and Simulation, MODSIM 2015. All rights reserved.",Persistent identifier; Redirection service; Semantic Web; Uniform Resource Identifier (URI); Web proxy,Application programming interfaces (API); Automatic identification; Data handling; Digital storage; Government data processing; Graphical user interfaces; Linked data; Operations research; Product design; Proportional control systems; Semantic Web; Websites; Linked data applications; Multiple representation; Persistent identifier; Redirection service; Spatial relationships; Technical functionalities; Uniform resource identifiers; Web proxy; Web services,,English,Conference Paper,Final,Scopus
Martin C.,Barriers to the open government data agenda: Taking a multi-level perspective,2014,Policy and Internet,60,"Department of Public Leadership and Social Enterprise, Open University Business School, United Kingdom","A loose coalition of advocates for Open Government Data (OGD) argue that such data has the potential to have a transformative impact by catalyzing innovation across sectors of the economy and by fostering democratic participation and engagement. However, there is limited evidence to date of the OGD agenda having such a transformative impact. This article applies the Multi-level Perspective (MLP); an approach more typically applied to study transitions to a sustainable society, to explore the nature of the barriers currently faced by the OGD agenda. It argues that such barriers exist in two forms: implementation barriers and barriers to use. The empirical results presented include survey responses measuring the perceptions of U.K. OGD community members of 33 barriers to the OGD data agenda. These results are analyzed to identify implications for OGD policy and practice. The article concludes with a start at establishing a theoretical grounding for the study of barriers to the OGD agenda. © 2014 Policy Studies Organization Published by Wiley Periodicals, Inc., 350 Main Street, Malden, MA 02148, USA, and 9600 Garsington Road, Oxford, OX4 2DQ.",Barriers; Multi-level perspective; Open government data; Public sector innovation; Systems innovation; Technological transitions,,"Martin, C.; Department of Public Leadership and Social Enterprise, United Kingdom; email: chris.martin@open.ac.uk",English,Review,Final,Scopus
"Höchtl J., Parycek P., Sedy F.",The development of open government data in Austria,2014,Handbook of Research on Advanced ICT Integration for Governance and Policy Modeling,,"Danube University Krems, Austria","Open Government Data has become an integral part for European governments at all federal levels. However, varying jurisdictions and government structures have also contributed to different operational models. The UK is pursuing a more central approach, expressing political will through its prime minister and with the ODI providing the technical and organisational framework. Austria is a much more federated country, yet also on the edge of OGD. This chapter presents the inception of OGD in Austria, the informal approach of OGD consensus finding, OGD specifications, organisational setting, and harmonisation approaches in the DACH and pan-European region. © 2014, IGI Global.",,,"Höchtl, J.; Danube University KremsAustria",English,Book Chapter,Final,Scopus
"Aryan P.R., Ekaputra F.J., Sunindyo W.D., Akbar S.",Fostering government transparency and public participation through linked open government data: Case study: Indonesian public information service,2014,"Proceedings of 2014 International Conference on Data and Software Engineering, ICODSE 2014",10,"Institute for Software Technology and Interactive Systems, Vienna University of Technology, Vienna, Austria; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia","Open data refers to data that is freely available in the Internet and can be used, reused, and redistributed without restrictions from copyright or patent. This paper describes our approach to fostering government transparency and public participation through linked open government data (LOGD). We have analyzed how Indonesian Government deals with the open government data issues, and we define its maturity level based on the existing maturity framework. Then, we proposed a conceptual framework advance the Indonesian open government data maturity level to encourage further improvement on the government transparency and public participation. To show the feasibility of our approach, we developed a case study to show how the open data advancement could support the government transparency and public participation. Our case study shows promising result and we are eager to continue working in the area in a bigger scale. © 2014 IEEE.",linked data; open data; open government data; public participation,Information services; Software engineering; Conceptual frameworks; Data maturity; Linked datum; Maturity levels; Open datum; open government data; Public participation; Transparency,,English,Conference Paper,Final,Scopus
[No author name available],"Proceedings of 2014 International Conference on Data and Software Engineering, ICODSE 2014",2014,"Proceedings of 2014 International Conference on Data and Software Engineering, ICODSE 2014",,,The proceedings contain 67 papers. The topics discussed include: a method for automated document classification using Wikipedia-derived weighted keywords; a new direct access framework for speaker identification system; a new scheme to hide the data integrity marker on vector maps using a feature-based fragile watermarking algorithm; a semantic framework for data integration and communication in project consortia; analysis and modeling of sequential pattern as multimedia data representation; application program interface to build executive information system using data warehouse; correlation analysis of user influence and sentiment on twitter data; data migration helper using domain information; detection of potential traffic jam based on traffic characteristic data analysis; and fostering government transparency and public participation through linked open government data.,,,,English,Conference Review,Final,Scopus
"Magalhaes G., Roseira C., Manley L.",Business models for open government data,2014,ACM International Conference Proceeding Series,16,"UT Austin-Portugal Program, University of Texas at Austin, Austin, TX  78705, United States; Faculdade de Economia, Universidade Do Porto, Porto, 4200-464, Portugal; New York University, 295 Lafayette Street, New York, NY  10012, United States","The commercial re-use of open government data is broadly expected to generate economic value. However, the practice and study of this trend is still in its infancy. In particular, the issue of value creation in the commercial re-use open government data remains largely unknown. This study aims to further understand how open government data is used to develop commercial products and services. Grounded in the comprehensive data obtained from a sample of 500 US firms that use open government data as part of their business model, we propose a taxonomy that encompasses three business model archetypes (enablers, facilitators, and integrators). Furthermore, we discuss the value proposition of each business model archetype, and subsequently present a framework that describes the value created in the context of the open government data ecosystem. Our framework can be used by both scholars and practitioners in the field of open government data to effectively frame the debate of the value created by the commercial re-use of open government data. Simultaneously, our work can be of benefit to entrepreneurs as it provides a systematic overview, as well as practical insights, of the growing use of open government data in the private sector.",Business model; Intermediaries; Open government data; Services; Value creation,Computer programming; Business modeling; Intermediaries; Open government data; Services; Value creation; Government data processing,,English,Conference Paper,Final,Scopus
"Parycek P., Höchtl J., Ginner M.",Open government data implementation evaluation,2014,Journal of Theoretical and Applied Electronic Commerce Research,42,"Danube University, Department for E-Governance and Administration, Krems, Austria","This paper analyses the implementation of the Open Government Data strategy and portal of the City of Vienna. This evaluation is based on qualitative interviews and online polls after the strategy was implemented. Two groups of users were involved in the evaluation: internal target groups (employees and heads of department in the City of Vienna's public administration departments) and external stakeholders (citizens, business representatives, science and research, journalists). Analyzed aspects included the present organizational processes, the benefits (to business and society), and requirements for future Open Government Data initiatives. This evaluation reveals success factors which accompanied the implementation: the clear definition of responsibilities and the implementation along a process model, the integration of the Open Government Data platform into existing Content Management Systems, the evaluation of the Open Government Data initiative very shortly after its inception. Based on the theoretical and empirical findings, recommendations for future Open Government Data strategies are made which target the local authority and would require action on the federal level such as Creative Commons Attribution License as the default for subsidy funds or public relation measures carried out directly by the data providing departments. © 2014 Universidad de Talca - Chile.",Evaluation; Open data; Open government; Open government data; Strategy implementation,,,English,Article,Final,Scopus
"Gomes Á., Soares D.",Open government data initiatives in Europe: Northern versus southern countries analysis,2014,ACM International Conference Proceeding Series,11,"University of Minho, Centro ALGORITMI, Department of Information Systems, Guimarães, Portugal","This paper explores a set of national European open government data. The study is particularly focused on analyzing and identifying differences on how northern and southern countries of Europe have adopted, accepted and promoted open government data portals. Using web content analysis, open government data portals of six countries, three from the Northern Europe region (Denmark, Norway, and United Kingdom) and three from the Southern European region (Italy, Portugal, and Spain) are scrutinized for understanding the status of open government data initiatives. The results of the direct content analysis observation point to the existence of some currently differences among the countries of the two regions, mainly in what concerns their ability to reuse open data made available by public entities. Some possible reasons for that are advanced and further streams of research to deep the understanding of those reasons are proposed. Copyright 2014 ACM.",Government data; Open data; Open government data,Computer programming; Content analysis; European regions; Government data; Observation point; Open datum; Open government data; Public entities; Web content analysis; Government data processing,,English,Conference Paper,Final,Scopus
"Jetzek T., Avital M., Bjorn-Andersen N.",Data-driven innovation through open government data,2014,Journal of Theoretical and Applied Electronic Commerce Research,84,"Copenhagen Business School, Department of IT Management, Copenhagen, Denmark","The exponentially growing production of data and the social trend towards openness and sharing are power-ful forces that are changing the global economy and society. Governments around the world have become ac-tive participants in this evolution, opening up their data for access and re-use by public and private agents alike. The phenomenon of Open Government Data has spread around the world in the last four years, driven by the widely held belief that use of Open Government Data has the ability to generate both economic and social value. However, a cursory review of the popular press, as well as an investigation of academic research and empirical data, reveals the need to further understand the relationship between Open Government Data and value. In this paper, we focus on how use of Open Government Data can bring about new innovative solutions that can gen-erate social and economic value. We apply a critical realist approach to a case study analysis to uncover the mechanisms that can explain how data is transformed to value. We explore the case of Opower, a pioneer in using and transforming data to induce a behavioral change that has resulted in a considerable reduction in en-ergy use over the last six years. © 2014 Universidad de Talca - Chile.",Big data; Critical realism; Generative mecha-nisms; Innovation; Open data; Open government data; Opower; Value,,,English,Article,Final,Scopus
